,result,id,name,url,imdb,tmdb,premiere,type_id,type,country_id,country,genre_id,genre,company_id,company,key,note,set,region,streaming,from,to,ranking,ranking_last,value,value_last,value_total,countries,days
0,1.0,97483.0,The Queen&#39;s Gambit,https://flixpatrol.com/title/the-queens-gambit,10048342,87739,2020.0,2.0,TV,4672.0,USA,6824.0,Drama,656.0,Netflix,80234304,80234304,1.0,93.0,656.0,2020-12-01,2020-12-01,1.0,0.0,10.0,0.0,0.0,0.0,0.0
1,2.0,72764.0,Virgin River,https://flixpatrol.com/title/virgin-river,9077530,88324,2019.0,2.0,TV,4672.0,USA,6824.0,Drama,656.0,Netflix,80240027,80240027,1.0,93.0,656.0,2020-12-01,2020-12-01,2.0,0.0,9.0,0.0,0.0,0.0,0.0
2,3.0,99577.0,The Beast,https://flixpatrol.com/title/the-beast-2020,11499506,654905,2020.0,1.0,Movie,93.0,Italy,246.0,Crime,656.0,Netflix,81319170,81319170,1.0,93.0,656.0,2020-12-01,2020-12-01,3.0,0.0,8.0,0.0,0.0,0.0,0.0
3,4.0,35210.0,The Crown,https://flixpatrol.com/title/the-crown,4786824,65494,2016.0,2.0,TV,89.0,United Kingdom,95.0,History,656.0,Netflix,80025678,80025678,1.0,93.0,656.0,2020-12-01,2020-12-01,4.0,0.0,7.0,0.0,0.0,0.0,0.0
4,5.0,67174.0,Diego Maradona,https://flixpatrol.com/title/diego-maradona,5433114,536841,2019.0,1.0,Movie,89.0,United Kingdom,8722.0,Documentary,0.0,,81084856,81084856,1.0,93.0,656.0,2020-12-01,2020-12-01,5.0,0.0,6.0,0.0,0.0,0.0,0.0
5,6.0,73731.0,The Christmas Chronicles: Part Two,https://flixpatrol.com/title/the-christmas-chronicles-part-two,11057644,654028,2020.0,1.0,Movie,333.0,Canada,241.0,Comedy,656.0,Netflix,80988988,80988988,1.0,93.0,656.0,2020-12-01,2020-12-01,6.0,0.0,5.0,0.0,0.0,0.0,0.0
6,7.0,99229.0,Mosul,https://flixpatrol.com/title/mosul,9252468,618219,2020.0,1.0,Movie,4672.0,USA,94.0,War,656.0,Netflix,81041495,81041495,1.0,93.0,656.0,2020-12-01,2020-12-01,7.0,0.0,4.0,0.0,0.0,0.0,0.0
7,8.0,99156.0,Don&#39;t Listen,https://flixpatrol.com/title/dont-listen,11750282,726208,2020.0,1.0,Movie,90.0,Spain,92.0,Horror,656.0,Netflix,81085815,81085815,1.0,93.0,656.0,2020-12-01,2020-12-01,8.0,0.0,3.0,0.0,0.0,0.0,0.0
8,9.0,98775.0,Midnight at the Magnolia,https://flixpatrol.com/title/midnight-at-the-magnolia,13318052,734280,2020.0,1.0,Movie,333.0,Canada,241.0,Comedy,0.0,,81345800,81345800,1.0,93.0,656.0,2020-12-01,2020-12-01,9.0,0.0,2.0,0.0,0.0,0.0,0.0
9,10.0,59375.0,The Christmas Chronicles,https://flixpatrol.com/title/the-christmas-chronicles,2990140,527435,2018.0,1.0,Movie,4672.0,USA,241.0,Comedy,656.0,Netflix,80199682,80199682,1.0,93.0,656.0,2020-12-01,2020-12-01,10.0,0.0,1.0,0.0,0.0,0.0,0.0
